City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
216,Richards Bay,ZA,-28.783,32.0377,69.06,92,99,12.46,light rain
217,Knyaze-Volkonskoye,RU,48.4642,135.4567,-33.72,100,92,1.36,overcast clouds
218,Qianjiang,CN,30.4151,112.8859,49.41,53,100,12.1,light rain
219,Mandalgovi,MN,45.7625,106.2708,-5.91,66,0,5.61,clear sky
220,New Norfolk,AU,-42.7826,147.0587,65.91,56,56,1.01,broken clouds
221,Buala,SB,-8.145,159.5921,82.26,80,100,6.2,light rain
222,Pavullo Nel Frignano,IT,44.3315,10.835,45.3,93,96,37.98,overcast clouds
223,San Francisco Del Mar,MX,16.2333,-94.65,84.29,46,0,23.15,clear sky
224,Geraldton,AU,-28.7667,114.6,66.61,77,0,6.91,clear sky
225,Kismayo,SO,-0.3582,42.5454,80.33,80,98,11.07,overcast clouds
226,Nalobikha,RU,53.2006,84.6039,15.24,82,96,7.31,overcast clouds
227,Porto Santo,PT,33.072,-16.3415,64.78,63,75,10.36,broken clouds
228,Maues,BR,-3.3836,-57.7186,77.05,95,100,1.74,overcast clouds
229,Loja,EC,-3.9931,-79.2042,63.01,87,76,4.18,light rain
230,San Cristobal,VE,7.7669,-72.225,77.18,77,88,1.41,overcast clouds
231,Aquiraz,BR,-3.9014,-38.3911,82.49,78,41,8.72,scattered clouds
232,Muros,ES,42.7762,-9.0603,58.23,84,36,22.1,scattered clouds
233,Marrakesh,MA,31.6315,-8.0083,59.07,63,0,4.61,clear sky
234,Carberry,CA,49.8689,-99.3602,12.43,95,100,8.25,overcast clouds
235,Dunedin,NZ,-45.8742,170.5036,59.81,70,100,4.0,overcast clouds
236,Smithers,CA,54.7804,-127.1743,14.95,86,100,1.45,overcast clouds
237,Lompoc,US,34.6391,-120.4579,57.78,94,40,1.01,moderate rain
238,Pevek,RU,69.7008,170.3133,-21.48,98,100,1.74,overcast clouds
239,Klaksvik,FO,62.2266,-6.589,34.72,73,98,23.58,overcast clouds
240,Bow Island,CA,49.8668,-111.3684,21.52,80,100,12.71,overcast clouds
241,Pemba,MZ,-12.974,40.5178,82.04,81,74,13.94,broken clouds
242,Damara,CF,4.9608,18.7035,85.42,28,97,1.14,overcast clouds
243,Benguela,AO,-12.5763,13.4055,75.06,72,7,2.53,clear sky
244,Yulara,AU,-25.2406,130.9889,80.44,47,98,0.0,overcast clouds
245,Qaqortoq,GL,60.7167,-46.0333,39.7,60,84,9.57,broken clouds
246,Morondava,MG,-20.2833,44.2833,78.46,81,55,3.87,broken clouds
247,Ishikawa,JP,26.4233,127.8214,71.92,94,75,0.0,broken clouds
248,Port-Cartier,CA,50.0334,-66.8654,13.75,71,100,24.43,overcast clouds
249,Luganville,VU,-15.5333,167.1667,82.44,80,39,11.92,scattered clouds
250,Winslow,US,35.0242,-110.6974,64.58,34,75,5.01,broken clouds
251,Sohag,EG,26.557,31.6948,57.79,60,100,12.97,overcast clouds
252,Clearwater,US,27.9659,-82.8001,67.96,58,1,5.99,clear sky
253,Salta,AR,-24.7859,-65.4117,70.09,87,90,1.99,overcast clouds
254,Palencia,ES,42.4167,-4.5,50.92,93,100,11.72,overcast clouds
255,Kasongo,CD,-4.45,26.6667,67.84,99,100,1.81,overcast clouds
256,Broken Hill,AU,-31.95,141.4333,81.64,20,0,12.44,clear sky
257,Cabedelo,BR,-6.9811,-34.8339,81.27,78,47,9.19,scattered clouds
258,Marsh Harbour,BS,26.5412,-77.0636,72.86,54,3,15.23,clear sky
259,Chanika,TZ,-5.4167,38.0167,69.1,97,67,2.33,broken clouds
260,Freeport,US,40.6576,-73.5832,36.18,50,1,1.01,clear sky
261,Sorland,NO,67.667,12.6934,33.3,71,87,27.07,light snow
262,Jutai,BR,-5.1833,-68.9,79.63,93,89,1.9,overcast clouds
263,San Ramon,US,37.7799,-121.978,59.76,88,40,5.01,scattered clouds
264,Ponta Delgada,PT,37.7333,-25.6667,61.52,63,40,26.46,scattered clouds
265,Namibe,AO,-15.1961,12.1522,69.4,66,89,8.28,overcast clouds
266,Warangal,IN,18.0,79.5833,62.53,50,0,2.04,clear sky
267,Palaikastron,GR,35.2,26.25,51.75,63,68,16.15,broken clouds
268,Lagoa,PT,39.05,-27.9833,59.74,66,98,29.68,overcast clouds
269,Bethel,US,41.3712,-73.414,33.04,53,66,1.99,broken clouds
270,Gazanjyk,TM,39.2446,55.5154,39.04,66,41,10.31,scattered clouds
271,Aklavik,CA,68.2191,-135.0107,-2.2,71,90,6.91,overcast clouds
272,Iaciara,BR,-14.0958,-46.6317,70.41,97,100,7.4,overcast clouds
273,Brownsville,US,25.9018,-97.4975,77.11,66,0,8.01,clear sky
274,Nome,US,64.5011,-165.4064,-7.53,77,1,0.0,clear sky
275,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,77.4,96,100,1.43,moderate rain
